epoch,time,duration,event
199.0,00:00:57,25.2,RespEvent - Hypopnea - 4
200.0,00:01:27,30.0,Sleep_stage_N2
200.0,00:01:37,22.7,RespEvent - Hypopnea - 4
201.0,00:01:57,30.0,Sleep_stage_N2
202.0,00:02:27,30.0,Sleep_stage_N2
202.0,00:02:38,24.4,RespEvent - Hypopnea - 4
203.0,00:02:57,30.0,Sleep_stage_N2
204.0,00:03:27,30.0,Sleep_stage_N2
204.0,00:03:33,18.5,RespEvent - ObstructiveApnea - 1
205.0,00:03:57,30.0,Sleep_stage_N2
206.0,00:04:27,30.0,Sleep_stage_N2
206.0,00:04:36,31.2,RespEvent - Hypopnea - 4
207.0,00:04:57,30.0,Sleep_stage_N2
208.0,00:05:27,30.0,Sleep_stage_N2
208.0,00:05:37,1.7,PLM - Periodic - 1
209.0,00:05:57,30.0,Sleep_stage_N2
209.0,00:06:00,1.5,PLM - Periodic - 1
209.0,00:06:22,2.0,PLM - Periodic - 1
210.0,00:06:27,30.0,Sleep_stage_N2
210.0,00:06:50,20.395,RespEvent - RERA - 6
211.0,00:06:57,30.0,Sleep_stage_N2
212.0,00:07:27,30.0,Sleep_stage_N2
212.0,00:07:27,20.395,RespEvent - Hypopnea - 4
213.0,00:07:57,30.0,Sleep_stage_W
214.0,00:08:27,30.0,Sleep_stage_N1
214.0,00:08:43,0.3,PLM - Periodic - 1
215.0,00:08:57,30.0,Sleep_stage_N1
215.0,00:09:19,2.8,PLM - Periodic - 1
216.0,00:09:27,30.0,Sleep_stage_N1
216.0,00:09:48,17.7,RespEvent - Hypopnea - 4
217.0,00:09:57,30.0,Sleep_stage_N1
218.0,00:10:27,30.0,Sleep_stage_N1
219.0,00:10:57,30.0,Sleep_stage_N1
219.0,00:11:12,1.0,PLM - Periodic - 1
219.0,00:11:23,16.395,RespEvent - ObstructiveApnea - 1
220.0,00:11:27,30.0,Sleep_stage_N1
220.0,00:11:53,21.9,RespEvent - RERA - 6
221.0,00:11:57,30.0,Sleep_stage_N1
222.0,00:12:27,30.0,Sleep_stage_N1
222.0,00:12:50,20.395,RespEvent - Hypopnea - 4
223.0,00:12:57,30.0,Sleep_stage_N1
224.0,00:13:27,30.0,Sleep_stage_N1
224.0,00:13:36,21.7,RespEvent - Hypopnea - 4
225.0,00:13:57,30.0,Sleep_stage_N2
226.0,00:14:27,30.0,Sleep_stage_N1
226.0,00:14:41,20.7,RespEvent - Hypopnea - 4
227.0,00:14:57,30.0,Sleep_stage_N1
227.0,00:15:15,15.7,RespEvent - RERA - 6
228.0,00:15:27,30.0,Sleep_stage_N1
228.0,00:15:39,19.395,RespEvent - RERA - 6
229.0,00:15:57,30.0,Sleep_stage_N2
230.0,00:16:27,30.0,Sleep_stage_N1
230.0,00:16:39,21.9,RespEvent - Hypopnea - 4
231.0,00:16:57,30.0,Sleep_stage_N1
232.0,00:17:27,30.0,Sleep_stage_N1
232.0,00:17:35,1.0,PLM - Periodic - 1
232.0,00:17:40,18.895,RespEvent - RERA - 6
233.0,00:17:57,30.0,Sleep_stage_N1
233.0,00:18:11,23.7,RespEvent - Hypopnea - 4
234.0,00:18:27,30.0,Sleep_stage_N1
235.0,00:18:57,30.0,Sleep_stage_W
235.0,00:19:20,1.0,PLM - Periodic - 1
236.0,00:19:27,30.0,Sleep_stage_W
236.0,00:19:46,0.005,Position - Left - 1
237.0,00:19:57,30.0,Sleep_stage_W
237.0,00:20:25,0.2,PLM - Periodic - 1
238.0,00:20:27,30.0,Sleep_stage_N1
238.0,00:20:55,2.7,PLM - Periodic - 1
239.0,00:20:57,30.0,Sleep_stage_N1
240.0,00:21:27,30.0,Sleep_stage_N1
241.0,00:21:57,30.0,Sleep_stage_N1
241.0,00:22:14,0.2,PLM - Periodic - 1
241.0,00:22:26,1.2,PLM - Periodic - 1
242.0,00:22:27,30.0,Sleep_stage_N2
242.0,00:22:44,2.0,PLM - Periodic - 1
243.0,00:22:57,30.0,Sleep_stage_N2
243.0,00:22:57,1.0,PLM - Periodic - 1
244.0,00:23:27,30.0,Sleep_stage_N1
245.0,00:23:57,30.0,Sleep_stage_N2
245.0,00:24:17,1.0,PLM - Periodic - 1
246.0,00:24:27,30.0,Sleep_stage_N2
246.0,00:24:38,1.0,PLM - Periodic - 1
247.0,00:24:57,30.0,Sleep_stage_N2
248.0,00:25:27,30.0,Sleep_stage_N2
249.0,00:25:57,30.0,Sleep_stage_N2
249.0,00:26:22,1.0,PLM - Periodic - 1
250.0,00:26:27,30.0,Sleep_stage_N2
250.0,00:26:50,1.0,PLM - Periodic - 1
251.0,00:26:57,30.0,Sleep_stage_N2
251.0,00:27:15,2.7,PLM - Periodic - 1
252.0,00:27:27,30.0,Sleep_stage_N1
252.0,00:27:55,1.0,PLM - Periodic - 1
253.0,00:27:57,30.0,Sleep_stage_N1
254.0,00:28:27,30.0,Sleep_stage_N2
254.0,00:28:41,2.2,PLM - Periodic - 1
255.0,00:28:57,30.0,Sleep_stage_N1
256.0,00:29:27,30.0,Sleep_stage_N1
257.0,00:29:57,30.0,Sleep_stage_N2
257.0,00:30:06,1.0,PLM - Periodic - 1
257.0,00:30:26,2.0,PLM - Periodic - 1
258.0,00:30:27,30.0,Sleep_stage_N2
259.0,00:30:57,30.0,Sleep_stage_N2
260.0,00:31:27,30.0,Sleep_stage_N2
260.0,00:31:30,1.0,PLM - Periodic - 1
261.0,00:31:57,30.0,Sleep_stage_N2
261.0,00:32:10,0.5,PLM - Periodic - 1
262.0,00:32:27,30.0,Sleep_stage_N2
262.0,00:32:45,1.0,PLM - Periodic - 1
263.0,00:32:57,30.0,Sleep_stage_N2
263.0,00:33:04,1.0,PLM - Periodic - 1
264.0,00:33:27,30.0,Sleep_stage_N2
264.0,00:33:37,21.2,RespEvent - RERA - 6
265.0,00:33:57,30.0,Sleep_stage_N2
265.0,00:34:21,25.5,RespEvent - Hypopnea - 4
266.0,00:34:27,30.0,Sleep_stage_N2
267.0,00:34:57,30.0,Sleep_stage_N2
267.0,00:35:15,1.0,PLM - Isolated - 1
268.0,00:35:27,30.0,Sleep_stage_N2
268.0,00:35:47,1.0,PLM - Isolated - 1
269.0,00:35:57,30.0,Sleep_stage_N2
270.0,00:36:27,30.0,Sleep_stage_N2
271.0,00:36:57,30.0,Sleep_stage_N2
271.0,00:37:21,0.5,PLM - Periodic - 1
272.0,00:37:27,30.0,Sleep_stage_N2
272.0,00:37:38,1.0,PLM - Periodic - 1
273.0,00:37:57,30.0,Sleep_stage_N2
274.0,00:38:27,30.0,Sleep_stage_N2
274.0,00:38:29,0.2,PLM - Periodic - 1
274.0,00:38:56,0.5,PLM - Periodic - 1
275.0,00:38:57,30.0,Sleep_stage_N2
275.0,00:39:16,0.2,PLM - Periodic - 1
275.0,00:39:22,1.5,PLM - Periodic - 1
276.0,00:39:27,30.0,Sleep_stage_N2
277.0,00:39:57,30.0,Sleep_stage_N2
